basinID,abnormal,method,component,percentage
2181900,r1,PR,P,0.0
2181900,r1,CKF,P,0.0
2181900,r1,MCL,P,0.0
2181900,r1,MSD,P,0.0
2181900,r1,PR,E,2.5315126050420167
2181900,r1,CKF,E,2.415966386554622
2181900,r1,MCL,E,1.5126050420168067
2181900,r1,MSD,E,2.2478991596638656
2181900,r1,PR,R,0.0
2181900,r1,CKF,R,0.0
2181900,r1,MCL,R,0.0
2181900,r1,MSD,R,0.0
2181900,r1,PR,S,5.493697478991597
2181900,r1,CKF,S,3.088235294117647
2181900,r1,MCL,S,5.140056022408963
2181900,r1,MSD,S,4.579831932773109
2181900,r2,PR,P,2.6995798319327733
2181900,r2,CKF,P,1.1869747899159664
2181900,r2,MCL,P,1.8907563025210083
2181900,r2,MSD,P,2.857142857142857
2181900,r2,PR,E,0.8718487394957983
2181900,r2,CKF,E,0.9453781512605042
2181900,r2,MCL,E,0.8403361344537815
2181900,r2,MSD,E,0.26260504201680673
2181900,r2,PR,R,28.14075630252101
2181900,r2,CKF,R,24.63235294117647
2181900,r2,MCL,R,31.960784313725487
2181900,r2,MSD,R,27.888655462184875
2181900,r2,PR,S,14.8109243697479
2181900,r2,CKF,S,13.119747899159664
2181900,r2,MCL,S,18.795518207282914
2181900,r2,MSD,S,15.021008403361344
4127800,r1,PR,P,0.0
4127800,r1,CKF,P,0.0
4127800,r1,MCL,P,0.0
4127800,r1,MSD,P,0.0
4127800,r1,PR,E,6.720679012345679
4127800,r1,CKF,E,5.856481481481481
4127800,r1,MCL,E,4.212962962962963
4127800,r1,MSD,E,6.535493827160494
4127800,r1,PR,R,0.30864197530864196
4127800,r1,CKF,R,0.015432098765432098
4127800,r1,MCL,R,0.015432098765432098
4127800,r1,MSD,R,0.10802469135802469
4127800,r1,PR,S,3.7654320987654324
4127800,r1,CKF,S,3.4027777777777777
4127800,r1,MCL,S,4.876543209876543
4127800,r1,MSD,S,5.4406544219787
4127800,r2,PR,P,12.283950617283951
4127800,r2,CKF,P,2.5925925925925926
4127800,r2,MCL,P,9.274691358024691
4127800,r2,MSD,P,10.74239851828986
4127800,r2,PR,E,1.4506172839506173
4127800,r2,CKF,E,2.569444444444444
4127800,r2,MCL,E,2.492283950617284
4127800,r2,MSD,E,1.0339506172839508
4127800,r2,PR,R,27.939814814814817
4127800,r2,CKF,R,18.256172839506174
4127800,r2,MCL,R,31.311728395061728
4127800,r2,MSD,R,25.95679012345679
4127800,r2,PR,S,23.047839506172842
4127800,r2,CKF,S,13.719135802469134
4127800,r2,MCL,S,26.22685185185185
4127800,r2,MSD,S,28.414878839327056
6742900,r1,PR,P,0.0
6742900,r1,CKF,P,0.0
6742900,r1,MCL,P,0.0
6742900,r1,MSD,P,0.0
6742900,r1,PR,E,8.118279569892472
6742900,r1,CKF,E,7.271505376344085
6742900,r1,MCL,E,9.623655913978494
6742900,r1,MSD,E,8.561827956989248
6742900,r1,PR,R,0.20161290322580644
6742900,r1,CKF,R,0.0
6742900,r1,MCL,R,0.0
6742900,r1,MSD,R,0.10752688172043011
6742900,r1,PR,S,3.763440860215054
6742900,r1,CKF,S,3.131720430107527
6742900,r1,MCL,S,4.637096774193548
6742900,r1,MSD,S,5.833333333333333
6742900,r2,PR,P,5.860215053763441
6742900,r2,CKF,P,2.4193548387096775
6742900,r2,MCL,P,3.5349462365591395
6742900,r2,MSD,P,5.336021505376344
6742900,r2,PR,E,2.486559139784946
6742900,r2,CKF,E,3.669354838709677
6742900,r2,MCL,E,8.494623655913978
6742900,r2,MSD,E,1.0618279569892473
6742900,r2,PR,R,15.524193548387096
6742900,r2,CKF,R,5.739247311827957
6742900,r2,MCL,R,14.422043010752688
6742900,r2,MSD,R,7.352150537634408
6742900,r2,PR,S,8.279569892473118
6742900,r2,CKF,S,3.3333333333333335
6742900,r2,MCL,S,12.28494623655914
6742900,r2,MSD,S,16.182795698924732
